id,name,address,legal_form,registration_details,financial_data,administrators,shareholders,ubo,transactions,kyc_aml_checks
4413,Barrett-Brown,"0183 Callahan Street Apt. 514
Christopherstad, NE 46182",S.a.S.,599-86-2788,"[{""year"": 2016, ""revenue"": 227607.22, ""profit"": 217518.35}]","[47, 14]","[6, 33]","[320, 453]","[2877, 1546]","[95, 51]"
4414,"Sloan, Marshall and Byrd","617 Byrd Orchard Apt. 397
Fosterside, AL 73989",Cooperative,009-24-9443,"[{""year"": 2019, ""revenue"": 818539.74, ""profit"": 127618.4}]","[98, 67]","[46, 32, 59, 85, 30, 52, 39, 21]","[803, 648]","[1610, 17464]","[1432, 3166, 133]"
4415,"Adams, Brown and Torres","622 Ramos Overpass
Tylermouth, NH 49086",S.a.S.,160-75-2528,"[{""year"": 2021, ""revenue"": 775857.88, ""profit"": 177603.64}, {""year"": 2018, ""revenue"": 787406.71, ""profit"": 236375.07}, {""year"": 2017, ""revenue"": 846715.29, ""profit"": 288869.14}, {""year"": 2022, ""revenue"": 142535.06, ""profit"": 239404.89}]","[30, 22, 47]",[8],[551],"[4097, 5426]","[3949, 21, 3621]"
4416,West and Sons,"7738 Richard Corners
Duncanton, CA 41748",S.p.A.,425-28-7261,"[{""year"": 2023, ""revenue"": 407910.76, ""profit"": 174507.42}, {""year"": 2020, ""revenue"": 975228.33, ""profit"": 490593.53}]","[76, 97]",[10],"[204, 420, 416]","[3859, 1596, 16272, 13615, 19364]","[4856, 3542]"
4417,Todd-Williams,"9948 David Square
North Eric, AR 06226",S.r.l. a socio unico,873-27-4091,"[{""year"": 2021, ""revenue"": 106285.6, ""profit"": 316665.0}, {""year"": 2017, ""revenue"": 420352.47, ""profit"": 416318.59}]","[74, 22]","[61, 35]","[52, 359, 574]",[16199],"[3263, 701, 3789]"
4418,"Jordan, Barnes and Rubio","2590 Burke Plains Suite 867
Griffinmouth, HI 93649",S.n.C.,580-30-6809,"[{""year"": 2017, ""revenue"": 509059.52, ""profit"": 110517.94}, {""year"": 2018, ""revenue"": 774871.61, ""profit"": 419407.34}, {""year"": 2020, ""revenue"": 885486.99, ""profit"": 240985.07}, {""year"": 2018, ""revenue"": 873732.89, ""profit"": 107527.15}]","[78, 11]","[86, 42, 92, 58, 84, 76, 6, 77]","[374, 702, 238]","[10934, 13226, 13529]","[2899, 2484, 4937]"
4419,Alvarado-Patterson,"1761 Erin Freeway Apt. 672
Lake Benjaminbury, MH 68400",S.a.S.,251-53-0986,"[{""year"": 2021, ""revenue"": 150637.63, ""profit"": 208072.85}, {""year"": 2022, ""revenue"": 222026.14, ""profit"": 182753.8}, {""year"": 2017, ""revenue"": 717559.35, ""profit"": 379656.26}]","[11, 99, 90]","[78, 7, 84, 62, 96, 51, 76, 35, 63, 39]","[681, 919, 194]","[16788, 18358]","[2471, 2845]"
4420,"Shaffer, Tyler and Snyder","8656 Adams Turnpike Apt. 966
North William, MN 27314",S.r.l.,435-26-6211,"[{""year"": 2019, ""revenue"": 392220.68, ""profit"": 391193.74}, {""year"": 2022, ""revenue"": 37018.45, ""profit"": 220170.81}, {""year"": 2019, ""revenue"": 189767.7, ""profit"": 402636.45}]","[18, 13, 21]","[60, 66, 51]","[349, 446]","[19874, 10572, 11655]","[3978, 2016]"
4421,Mclaughlin PLC,"326 David Via Apt. 200
Port Kelly, FL 95690",Onlus,217-11-0385,"[{""year"": 2018, ""revenue"": 787717.38, ""profit"": 415574.62}, {""year"": 2023, ""revenue"": 24232.83, ""profit"": 60891.26}, {""year"": 2015, ""revenue"": 850504.85, ""profit"": 329374.85}, {""year"": 2020, ""revenue"": 713692.21, ""profit"": 9424.78}, {""year"": 2018, ""revenue"": 43124.63, ""profit"": 31317.83}]","[52, 11, 39]","[8, 20, 57, 34, 69]","[924, 919]","[7477, 7387, 12141, 15158]","[1886, 4013]"
4422,Sanchez-Lucas,"146 Martha Alley Apt. 036
Dalefort, IL 34051",S.n.C.,521-91-5783,"[{""year"": 2017, ""revenue"": 844821.66, ""profit"": 336777.84}, {""year"": 2020, ""revenue"": 627313.15, ""profit"": 216069.46}, {""year"": 2021, ""revenue"": 264821.09, ""profit"": 301448.71}, {""year"": 2016, ""revenue"": 798528.28, ""profit"": 366071.23}]","[89, 16]",[10],[922],[15132],[4132]
4423,Lee Inc,"846 William Key
East Andrewside, LA 75340",S.p.A.,057-43-8106,"[{""year"": 2019, ""revenue"": 948812.01, ""profit"": 399732.86}, {""year"": 2022, ""revenue"": 687831.59, ""profit"": 437770.78}]",[75],"[54, 21, 28, 5, 83, 20, 84, 11, 60, 52]",[839],"[12185, 12689, 9729, 19246]","[2798, 1392, 1675]"
4424,Montgomery Inc,"459 Chase Ridge Apt. 537
Brooksport, CO 76366",S.r.l.,768-36-3488,"[{""year"": 2020, ""revenue"": 157348.48, ""profit"": 411079.68}, {""year"": 2020, ""revenue"": 222342.04, ""profit"": 230029.98}]","[11, 71]",[96],[961],"[13170, 5251, 10470, 3619]","[353, 3735, 3760]"
4425,"Matthews, Contreras and Myers","012 Figueroa Well Suite 830
Port Jeffreyshire, PR 09478",S.r.l.,442-53-7063,"[{""year"": 2016, ""revenue"": 60422.3, ""profit"": 237286.42}, {""year"": 2022, ""revenue"": 421397.97, ""profit"": 13890.79}, {""year"": 2019, ""revenue"": 62752.14, ""profit"": 345205.18}]",[15],[90],[721],"[7732, 15677, 19797]","[370, 3963, 189]"
4426,"Odom, Giles and Pratt","6501 Michael Causeway
Port Stacyfort, MA 95993",S.r.l.,839-97-0274,"[{""year"": 2016, ""revenue"": 605105.45, ""profit"": 93769.28}, {""year"": 2022, ""revenue"": 343376.65, ""profit"": 422217.21}, {""year"": 2019, ""revenue"": 261614.68, ""profit"": 350481.35}, {""year"": 2018, ""revenue"": 475020.03, ""profit"": 177008.75}]","[5, 12, 76]",[93],"[657, 1, 123]","[11009, 10395, 8869, 14621]","[456, 1422]"
4427,"Garcia, Fox and Fischer","PSC 9463, Box 3313
APO AA 63714",Onlus,686-37-5661,"[{""year"": 2016, ""revenue"": 867547.68, ""profit"": 350900.88}, {""year"": 2018, ""revenue"": 635887.63, ""profit"": 9365.79}]","[42, 63, 32]","[64, 98, 25, 47, 30]",[499],"[17731, 18190, 6890, 16601]","[4534, 4488]"
4428,Hall LLC,"07386 Fleming Parkway Suite 667
East Brittneytown, WV 10309",Cooperative,723-83-6547,"[{""year"": 2018, ""revenue"": 236016.47, ""profit"": 250498.24}, {""year"": 2018, ""revenue"": 120089.26, ""profit"": 139230.26}, {""year"": 2019, ""revenue"": 704405.71, ""profit"": 255539.3}, {""year"": 2016, ""revenue"": 263946.97, ""profit"": 270710.35}, {""year"": 2017, ""revenue"": 486309.01, ""profit"": 158525.05}]","[9, 84, 20]","[7, 72, 69, 52]","[661, 575]","[16819, 6723, 13077]",[143]
4429,"Lawrence, Hunter and Bradley","2670 Teresa Common Apt. 039
New Rebecca, PR 28702",S.r.l.,678-43-0108,"[{""year"": 2015, ""revenue"": 228906.51, ""profit"": 266677.79}, {""year"": 2019, ""revenue"": 90520.24, ""profit"": 457390.02}, {""year"": 2021, ""revenue"": 813201.67, ""profit"": 257122.2}, {""year"": 2015, ""revenue"": 578532.61, ""profit"": 470035.11}, {""year"": 2016, ""revenue"": 266915.31, ""profit"": 155784.0}]",[11],"[94, 75, 19, 42, 24, 85, 60, 61]",[146],"[2868, 18419, 13963, 15828, 30]",[4046]
4430,Garcia Group,"326 Alejandra Street
Millerberg, RI 84969",S.p.A.,778-98-7466,"[{""year"": 2021, ""revenue"": 532796.73, ""profit"": 337161.06}, {""year"": 2021, ""revenue"": 524966.61, ""profit"": 447631.77}, {""year"": 2023, ""revenue"": 977017.1, ""profit"": 326701.63}, {""year"": 2019, ""revenue"": 341943.88, ""profit"": 178303.17}]","[65, 32]","[86, 66, 17, 11, 87, 96, 62, 49, 27, 41]","[229, 50]",[7025],"[1761, 326]"
4431,Hernandez-Ortiz,"465 Brian Summit
Lewisfurt, FL 90540",S.a.S.,736-11-9843,"[{""year"": 2020, ""revenue"": 209029.08, ""profit"": 185616.46}]","[45, 15, 50]","[46, 2, 24, 51, 81, 39, 67, 94]","[939, 92]","[2616, 15080]","[92, 1562, 111]"
4432,Washington-Stanley,"220 Martin Shoals
Angelaville, AZ 94649",Onlus,404-78-4939,"[{""year"": 2020, ""revenue"": 915976.85, ""profit"": 314695.19}, {""year"": 2022, ""revenue"": 483619.7, ""profit"": 491577.27}]","[50, 73]","[6, 55, 50, 60, 86, 16, 52]","[231, 671, 787]","[16994, 14365]","[2640, 4471, 2560]"
4433,Escobar and Sons,"395 Harrison Crossing
West Brandon, KS 44289",Cooperative,243-48-0054,"[{""year"": 2018, ""revenue"": 751047.43, ""profit"": 68994.55}, {""year"": 2020, ""revenue"": 871579.43, ""profit"": 369824.03}]","[10, 20, 15]","[74, 43, 28, 18]","[999, 996, 284]",[12651],"[2186, 639, 2923]"
4434,"Davenport, Lewis and Acosta","4622 Joyce Haven
West Kyle, LA 56997",S.r.l.,064-68-5323,"[{""year"": 2021, ""revenue"": 553804.79, ""profit"": 115837.69}]",[9],"[8, 49, 7]","[300, 400, 146]",[3039],[3255]
4435,"Tran, Wilson and Rodriguez","06308 Ronald Via
South Philip, MH 33690",S.a.S.,794-68-4034,"[{""year"": 2022, ""revenue"": 34147.56, ""profit"": 123581.45}, {""year"": 2020, ""revenue"": 272292.69, ""profit"": 369257.59}, {""year"": 2022, ""revenue"": 606062.24, ""profit"": 342887.52}]","[48, 59, 97]",[77],"[686, 900]","[10981, 7416, 1252]","[3418, 2881]"
4436,Arroyo-Jackson,"2872 Silva Crossing Suite 258
East Anthony, OK 60146",S.p.A.,668-42-9767,"[{""year"": 2020, ""revenue"": 283555.67, ""profit"": 30629.18}, {""year"": 2023, ""revenue"": 258981.71, ""profit"": 149728.47}]","[76, 4]","[100, 93, 24, 13, 66, 61]","[547, 144, 190]","[7772, 6280, 13832, 5420, 12757]","[3647, 2152, 2527]"
4437,Roberson-Moore,"8801 Fernando Lodge Suite 554
Port Austin, NE 22363",S.r.l.,486-31-1407,"[{""year"": 2018, ""revenue"": 48485.89, ""profit"": 489953.16}, {""year"": 2017, ""revenue"": 294981.33, ""profit"": 392659.63}, {""year"": 2016, ""revenue"": 435900.43, ""profit"": 215001.56}]",[50],"[57, 2, 4, 29, 6]",[190],[10353],"[531, 40]"
4438,Anderson PLC,"PSC 1936, Box 1012
APO AP 69625",S.r.l. a socio unico,192-76-2480,"[{""year"": 2016, ""revenue"": 426992.1, ""profit"": 341717.98}]",[49],"[41, 56, 47, 18, 53]",[157],"[11194, 15038, 2246, 19619, 1969]","[541, 1290]"
4439,Scott-Rivera,"Unit 8591 Box 6663
DPO AP 64518",Cooperative,780-91-2181,"[{""year"": 2021, ""revenue"": 996546.93, ""profit"": 374732.15}, {""year"": 2022, ""revenue"": 281441.54, ""profit"": 188375.52}, {""year"": 2022, ""revenue"": 64293.82, ""profit"": 15826.6}, {""year"": 2017, ""revenue"": 131747.59, ""profit"": 197257.55}]",[45],"[30, 22, 89, 94, 42, 25, 14, 76, 51, 37]","[297, 985, 141]","[19149, 13439, 16381, 10970]","[3923, 1739]"
4440,Walsh-Esparza,"83397 Michelle Glens Apt. 602
South Robert, HI 65935",Onlus,550-97-1500,"[{""year"": 2017, ""revenue"": 391499.87, ""profit"": 17756.29}, {""year"": 2018, ""revenue"": 402301.36, ""profit"": 339537.33}, {""year"": 2017, ""revenue"": 753596.44, ""profit"": 493188.78}]","[18, 93]","[53, 40, 48, 94, 32, 98, 69]","[893, 142, 285]","[14405, 9248, 2664, 11857, 3561]","[3434, 2723, 817]"
4441,Green-Ramos,"82620 Scott Harbor Suite 970
Hollandland, AZ 24706",S.r.l.,027-03-4497,"[{""year"": 2022, ""revenue"": 30060.56, ""profit"": 7098.87}, {""year"": 2023, ""revenue"": 55631.05, ""profit"": 328080.58}, {""year"": 2022, ""revenue"": 774625.49, ""profit"": 137487.36}]",[62],"[98, 89, 65, 11, 28, 43, 51, 46, 26, 35]","[79, 714, 581]","[18699, 16245, 2829, 7678]","[4426, 4856]"
4442,Johnson and Sons,"Unit 5503 Box 8220
DPO AA 03037",Cooperative,446-10-3550,"[{""year"": 2017, ""revenue"": 877212.44, ""profit"": 242592.13}, {""year"": 2015, ""revenue"": 183960.87, ""profit"": 78990.53}, {""year"": 2022, ""revenue"": 971434.04, ""profit"": 133423.82}, {""year"": 2022, ""revenue"": 527742.85, ""profit"": 401952.42}, {""year"": 2017, ""revenue"": 221523.23, ""profit"": 71854.67}]","[74, 5]","[100, 85, 26, 9, 20, 50, 81, 38, 91, 80]","[517, 310]","[12437, 4414]","[1300, 3251, 2568]"
4443,Miller PLC,"79402 Laura Isle Apt. 516
West Darrellstad, PW 82126",Onlus,231-54-2928,"[{""year"": 2023, ""revenue"": 382175.87, ""profit"": 257796.44}, {""year"": 2020, ""revenue"": 924113.07, ""profit"": 177988.57}, {""year"": 2017, ""revenue"": 324406.1, ""profit"": 362782.45}]","[33, 83]","[93, 79, 38, 15]",[310],"[19265, 10402, 2448, 3364, 9005]",[3670]
4444,"Wright, Bishop and Gill","802 Chelsea Ranch Suite 092
East Danielle, NY 60062",Onlus,152-54-8014,"[{""year"": 2015, ""revenue"": 407455.39, ""profit"": 204326.46}, {""year"": 2015, ""revenue"": 91557.16, ""profit"": 1060.72}]","[42, 60, 34]","[26, 3, 40, 11, 68]","[599, 870, 360]",[13107],"[3318, 2594]"
4445,Dickson-Miller,"6864 Mendoza Prairie
Lake Glenn, IA 19429",Cooperative,234-25-3676,"[{""year"": 2017, ""revenue"": 746412.62, ""profit"": 338260.96}, {""year"": 2020, ""revenue"": 49259.86, ""profit"": 131120.63}, {""year"": 2023, ""revenue"": 291567.14, ""profit"": 62205.96}, {""year"": 2019, ""revenue"": 265668.72, ""profit"": 362148.59}]","[94, 10, 55]","[26, 29, 74, 16, 3]","[579, 891]","[7887, 8171]","[117, 1770]"
4446,Spencer-Marquez,"7250 Carter Underpass
Jonesview, AL 13431",S.p.A.,829-67-8415,"[{""year"": 2021, ""revenue"": 380104.34, ""profit"": 460036.61}, {""year"": 2015, ""revenue"": 917797.9, ""profit"": 181584.19}, {""year"": 2017, ""revenue"": 570406.66, ""profit"": 4864.87}]","[69, 38]","[73, 32, 93, 25, 49]","[448, 482, 343]","[1481, 12596, 2627]","[1786, 3174]"
4447,Clark and Sons,"04863 White Wells Apt. 896
North Andreaside, FM 24643",S.r.l. a socio unico,705-27-9792,"[{""year"": 2015, ""revenue"": 240538.18, ""profit"": 169009.51}, {""year"": 2019, ""revenue"": 378187.48, ""profit"": 10350.43}, {""year"": 2018, ""revenue"": 450575.86, ""profit"": 119717.18}, {""year"": 2018, ""revenue"": 837969.34, ""profit"": 428762.5}]","[40, 18]","[92, 80]","[659, 127, 32]","[4604, 11857, 2024]","[4587, 4290, 4201]"
4448,"Gonzalez, Gilbert and Parsons","81446 Jeanne Burgs Apt. 981
Kennethbury, NH 26758",S.r.l. a socio unico,433-28-4301,"[{""year"": 2023, ""revenue"": 266866.5, ""profit"": 457241.75}, {""year"": 2023, ""revenue"": 898061.12, ""profit"": 405187.83}, {""year"": 2018, ""revenue"": 444741.57, ""profit"": 314415.18}, {""year"": 2016, ""revenue"": 432415.25, ""profit"": 94548.07}]",[16],"[62, 33, 94, 8]","[50, 200]","[3977, 6747, 474, 668, 9845]","[3019, 3686]"
4449,"Heath, Pham and Contreras","486 Tami Drive Suite 911
Robinsonmouth, WI 53199",S.r.l.,164-94-1397,"[{""year"": 2017, ""revenue"": 900366.02, ""profit"": 53967.76}, {""year"": 2016, ""revenue"": 186131.07, ""profit"": 117232.44}, {""year"": 2017, ""revenue"": 411460.15, ""profit"": 416202.96}, {""year"": 2017, ""revenue"": 291806.29, ""profit"": 96384.55}]",[45],"[24, 75, 64, 73]",[205],"[5494, 8492]","[2656, 4612, 2187]"
4450,Barnett LLC,"35829 Kristen Trail Suite 147
Rachelfurt, LA 42223",Cooperative,523-49-8287,"[{""year"": 2019, ""revenue"": 759738.06, ""profit"": 272646.32}, {""year"": 2021, ""revenue"": 289590.34, ""profit"": 347390.47}, {""year"": 2018, ""revenue"": 485356.68, ""profit"": 276028.83}, {""year"": 2019, ""revenue"": 77173.92, ""profit"": 20262.41}, {""year"": 2021, ""revenue"": 450492.86, ""profit"": 11329.37}]","[67, 4]","[54, 61, 32, 46, 41, 82, 14]","[771, 985]","[18810, 3425]","[388, 253, 3237]"
4451,James-Cole,"143 Jennifer Path
Wheelerhaven, VA 11974",Cooperative,402-56-6700,"[{""year"": 2019, ""revenue"": 615775.35, ""profit"": 65937.3}, {""year"": 2016, ""revenue"": 112391.82, ""profit"": 163138.5}, {""year"": 2022, ""revenue"": 328811.22, ""profit"": 374094.94}, {""year"": 2022, ""revenue"": 853396.68, ""profit"": 70664.03}]",[64],"[67, 16, 81]",[221],"[17457, 13003]",[2863]
4452,Williams Inc,"36809 Spencer Ford
South Martin, OR 84711",Onlus,029-04-1709,"[{""year"": 2016, ""revenue"": 581616.93, ""profit"": 425401.33}, {""year"": 2015, ""revenue"": 889160.13, ""profit"": 207945.56}]","[19, 78, 31]","[81, 46, 53]",[551],"[4463, 13735, 3599, 10064, 8548]","[623, 1066, 1453]"
4453,"Campbell, George and Hughes","3299 Pennington Village Apt. 922
Lewisside, NC 85802",S.p.A.,664-78-4335,"[{""year"": 2017, ""revenue"": 807270.36, ""profit"": 379036.31}, {""year"": 2020, ""revenue"": 76285.9, ""profit"": 163828.23}, {""year"": 2016, ""revenue"": 373920.89, ""profit"": 221079.33}, {""year"": 2017, ""revenue"": 959214.14, ""profit"": 318757.0}, {""year"": 2016, ""revenue"": 802506.4, ""profit"": 37638.89}]","[13, 16]","[41, 28, 97, 94]",[425],[12069],"[3947, 4782]"
4454,Evans-Taylor,"088 Torres Drives Suite 947
New Dianaberg, HI 25270",S.r.l. a socio unico,801-87-3870,"[{""year"": 2017, ""revenue"": 643968.82, ""profit"": 424734.18}, {""year"": 2022, ""revenue"": 653039.88, ""profit"": 345843.52}, {""year"": 2019, ""revenue"": 464775.43, ""profit"": 381439.25}, {""year"": 2015, ""revenue"": 291911.73, ""profit"": 498702.3}, {""year"": 2021, ""revenue"": 44359.51, ""profit"": 457375.18}]","[55, 91, 35]","[23, 14, 81]","[113, 544, 816]","[7609, 17112, 996, 11177, 4561]","[2966, 3664, 750]"
4455,Moon Group,"52266 Jacob Mount
North Tiffany, MO 96201",S.p.A.,045-44-0666,"[{""year"": 2016, ""revenue"": 825927.47, ""profit"": 168755.9}, {""year"": 2020, ""revenue"": 311269.04, ""profit"": 226987.66}, {""year"": 2019, ""revenue"": 398748.28, ""profit"": 32259.86}, {""year"": 2018, ""revenue"": 498352.7, ""profit"": 158805.16}, {""year"": 2020, ""revenue"": 765689.04, ""profit"": 328978.9}]","[50, 52, 85]","[62, 49, 83, 94, 100, 16, 27, 34]","[819, 948, 135]",[1087],"[1805, 340]"
4456,Golden Group,"11680 Kevin Freeway Suite 604
Amandaview, KS 14403",S.a.S.,275-39-4055,"[{""year"": 2016, ""revenue"": 575633.33, ""profit"": 35735.98}, {""year"": 2017, ""revenue"": 788868.25, ""profit"": 273323.7}, {""year"": 2017, ""revenue"": 707886.63, ""profit"": 250037.83}]",[63],"[34, 5, 19, 75, 82, 71, 76, 20]",[81],"[15920, 1151, 16929]","[4817, 3716, 4420]"
4457,Farrell-Garcia,"408 Kimberly Via Apt. 998
South Gina, AL 51981",S.r.l. a socio unico,284-75-0308,"[{""year"": 2018, ""revenue"": 182666.0, ""profit"": 109197.09}, {""year"": 2016, ""revenue"": 30000.56, ""profit"": 490574.62}, {""year"": 2021, ""revenue"": 995155.78, ""profit"": 225409.34}]","[22, 50]","[8, 63, 80, 11, 21, 71, 31, 44, 27]",[46],[7041],[2795]
4458,Jackson-Scott,"698 Katherine Burgs Apt. 556
Laratown, NH 04485",Cooperative,271-42-4639,"[{""year"": 2017, ""revenue"": 887692.71, ""profit"": 196123.14}, {""year"": 2019, ""revenue"": 667652.34, ""profit"": 368134.56}, {""year"": 2016, ""revenue"": 830387.2, ""profit"": 248484.99}, {""year"": 2021, ""revenue"": 922187.84, ""profit"": 29591.26}, {""year"": 2022, ""revenue"": 967808.86, ""profit"": 206717.01}]","[36, 61]","[23, 37, 53, 20, 46, 19, 28, 7, 56, 65]",[593],"[4767, 13863, 2739, 10049]",[1595]
4459,Smith Ltd,"025 Warren Spring
Jamesburgh, MT 32819",S.a.S.,794-04-1424,"[{""year"": 2023, ""revenue"": 374459.41, ""profit"": 450535.58}, {""year"": 2022, ""revenue"": 24774.76, ""profit"": 161440.88}, {""year"": 2023, ""revenue"": 279531.83, ""profit"": 291448.72}, {""year"": 2017, ""revenue"": 544696.29, ""profit"": 483805.95}, {""year"": 2016, ""revenue"": 887485.19, ""profit"": 329201.85}]","[44, 49, 56]","[75, 9, 27, 62, 18, 67, 55, 77, 1]","[851, 844, 27]","[14292, 804, 8976, 2802]",[3321]
4460,"Conner, Allen and Smith","518 Sarah Landing Suite 573
Jonesmouth, DC 57858",S.n.C.,582-01-6816,"[{""year"": 2017, ""revenue"": 793955.17, ""profit"": 425187.05}, {""year"": 2015, ""revenue"": 902038.54, ""profit"": 304041.49}, {""year"": 2017, ""revenue"": 966743.59, ""profit"": 38326.65}]",[33],"[79, 70, 66, 16]",[416],[17254],"[1641, 1743]"
4461,"Huynh, Hopkins and Wyatt","91385 Laura Manors Suite 465
Richardsbury, DE 32309",S.r.l.,440-09-1376,"[{""year"": 2018, ""revenue"": 824980.11, ""profit"": 46689.39}, {""year"": 2017, ""revenue"": 940970.64, ""profit"": 421477.21}, {""year"": 2019, ""revenue"": 538556.59, ""profit"": 160077.25}, {""year"": 2015, ""revenue"": 745780.42, ""profit"": 16977.78}]","[52, 62]","[14, 23, 89, 57, 15, 54, 21]",[9],"[6314, 15539, 14039, 18325]",[1992]
4462,Santana PLC,"9686 Kyle Summit
Campbellstad, LA 48362",Cooperative,097-81-8856,"[{""year"": 2017, ""revenue"": 919776.54, ""profit"": 461715.3}, {""year"": 2019, ""revenue"": 993534.23, ""profit"": 318342.57}, {""year"": 2019, ""revenue"": 189595.51, ""profit"": 9611.46}]","[18, 87]","[45, 81, 14, 61]",[40],"[3893, 85, 9023]","[987, 2114, 4753]"
4463,Watson-Johnson,"821 Bentley Ridge Apt. 404
Woodfurt, FM 53315",S.a.S.,513-73-6892,"[{""year"": 2017, ""revenue"": 914900.06, ""profit"": 496681.69}, {""year"": 2020, ""revenue"": 501142.44, ""profit"": 193252.89}, {""year"": 2018, ""revenue"": 577459.74, ""profit"": 476667.0}]","[30, 40, 73]","[35, 21, 92, 69, 42, 89, 68, 54, 64, 61]",[859],[17062],[3066]
4464,"Flores, Austin and Robinson","4329 Thomas Ridge
East Krystalview, GU 75088",S.r.l. a socio unico,311-56-1030,"[{""year"": 2020, ""revenue"": 499735.47, ""profit"": 472997.8}, {""year"": 2016, ""revenue"": 390567.48, ""profit"": 50127.87}, {""year"": 2022, ""revenue"": 237189.45, ""profit"": 342830.35}, {""year"": 2023, ""revenue"": 322285.03, ""profit"": 394855.56}, {""year"": 2023, ""revenue"": 811536.7, ""profit"": 107235.94}]",[27],"[41, 18]","[170, 892]","[18608, 14396, 17022, 16169, 15854]",[816]
4465,Fisher Inc,"8346 Faith Creek Apt. 313
Cathychester, OH 22753",S.p.A.,581-13-0769,"[{""year"": 2015, ""revenue"": 965696.38, ""profit"": 241867.09}, {""year"": 2016, ""revenue"": 108464.25, ""profit"": 178879.74}, {""year"": 2020, ""revenue"": 302637.8, ""profit"": 404885.88}, {""year"": 2016, ""revenue"": 434407.71, ""profit"": 315183.52}]","[45, 15, 29]","[43, 59, 30, 79, 26, 86, 57, 97, 34]",[180],"[16297, 7018, 723, 12865]","[3168, 2466]"
4466,Mack Inc,"279 Kelly Oval Apt. 173
West Meghan, VA 22213",S.r.l.,343-16-3929,"[{""year"": 2018, ""revenue"": 550874.81, ""profit"": 455590.83}, {""year"": 2019, ""revenue"": 99389.22, ""profit"": 183732.77}, {""year"": 2019, ""revenue"": 321037.16, ""profit"": 388102.46}]","[56, 67, 51]","[76, 45, 17, 77, 27, 33]","[564, 489, 5]",[3084],"[1912, 2136, 3438]"
4467,"Cisneros, Bailey and Jones","98728 Hamilton Grove
West Jasonshire, WV 75232",Onlus,547-91-8652,"[{""year"": 2019, ""revenue"": 59466.74, ""profit"": 178789.97}]","[93, 40, 9]","[78, 51, 79, 77, 92, 80, 61, 31, 95]",[32],"[4903, 20000, 3356, 18148]","[2398, 2998, 715]"
4468,"Williams, Johnson and Jackson","0944 Allison Views
Stephenhaven, UT 42853",S.n.C.,310-50-1462,"[{""year"": 2016, ""revenue"": 567632.11, ""profit"": 238324.54}, {""year"": 2018, ""revenue"": 190227.29, ""profit"": 76762.97}, {""year"": 2016, ""revenue"": 365046.99, ""profit"": 402723.49}, {""year"": 2019, ""revenue"": 706852.03, ""profit"": 241498.43}, {""year"": 2021, ""revenue"": 950574.43, ""profit"": 456146.06}]",[21],"[23, 47, 49, 58, 90]",[710],"[8283, 16798, 37, 19050]",[3781]
4469,Morales Inc,"58988 Yates Fords
Scotttown, VA 05135",S.r.l. a socio unico,055-35-3650,"[{""year"": 2020, ""revenue"": 762194.51, ""profit"": 494542.23}, {""year"": 2017, ""revenue"": 161200.08, ""profit"": 455003.18}, {""year"": 2023, ""revenue"": 743382.48, ""profit"": 459748.47}, {""year"": 2019, ""revenue"": 965389.25, ""profit"": 333086.64}]","[35, 95]","[75, 23, 61, 57, 25]",[907],"[19767, 2435]",[158]
4470,Gonzalez LLC,"33719 Tina Corner Suite 769
Lawrencefurt, FM 05046",S.r.l. a socio unico,499-86-2899,"[{""year"": 2020, ""revenue"": 339473.71, ""profit"": 402426.47}, {""year"": 2015, ""revenue"": 721492.06, ""profit"": 2250.85}]","[61, 75]","[13, 10, 69, 18, 39, 12, 38, 45, 91, 98]",[358],"[15964, 553, 12491, 11248]","[2530, 1476]"
4471,Ponce-Taylor,"105 Byrd Roads Apt. 367
Kevintown, AS 25565",S.r.l.,048-73-6445,"[{""year"": 2018, ""revenue"": 394767.58, ""profit"": 208269.0}, {""year"": 2020, ""revenue"": 244478.8, ""profit"": 8417.25}, {""year"": 2015, ""revenue"": 60831.24, ""profit"": 479500.12}]","[49, 71]","[10, 85, 79, 42, 11, 54, 27, 97, 35, 14]",[690],"[12215, 12047]","[1223, 4421, 2418]"
4472,Werner Inc,"5779 Megan Forges Apt. 205
Jenkinstown, TX 39968",S.p.A.,106-63-9765,"[{""year"": 2022, ""revenue"": 743583.75, ""profit"": 4085.16}, {""year"": 2018, ""revenue"": 643500.18, ""profit"": 303608.93}, {""year"": 2018, ""revenue"": 982981.08, ""profit"": 220913.52}, {""year"": 2023, ""revenue"": 853631.86, ""profit"": 163513.33}, {""year"": 2022, ""revenue"": 849128.62, ""profit"": 111433.42}]","[30, 48, 19]","[31, 26, 40, 34, 2, 63, 69, 91]",[645],"[7726, 11403]","[2514, 655]"
4473,Smith LLC,"89604 Erin Valleys
Nicholasmouth, HI 20381",Cooperative,494-15-7239,"[{""year"": 2017, ""revenue"": 817558.88, ""profit"": 188118.87}, {""year"": 2022, ""revenue"": 127655.35, ""profit"": 22664.81}, {""year"": 2019, ""revenue"": 925012.53, ""profit"": 157518.09}, {""year"": 2016, ""revenue"": 760915.99, ""profit"": 147832.38}]",[75],"[31, 73, 7, 64, 38, 36, 23, 70, 46]",[9],"[7962, 17997, 886, 5350, 10896]","[4162, 3167]"
