id,name,address,legal_form,registration_details,financial_data,administrators,shareholders,ubo,transactions,kyc_aml_checks
6044,"Kelly, Brooks and Rogers","207 Danny Rest Suite 774
Buckleyberg, WV 62993",Onlus,706-01-6607,"[{""year"": 2023, ""revenue"": 392516.05, ""profit"": 456647.77}, {""year"": 2018, ""revenue"": 611764.71, ""profit"": 150085.38}, {""year"": 2023, ""revenue"": 583613.82, ""profit"": 329330.35}]","[56, 79, 50]","[93, 91, 78, 81]",[150],[5573],"[4482, 2085]"
6045,"Morris, Compton and Kent","9673 Meyer Square Suite 310
New Richardberg, ME 65154",S.r.l.,236-53-1682,"[{""year"": 2023, ""revenue"": 722767.28, ""profit"": 401012.74}, {""year"": 2016, ""revenue"": 173488.3, ""profit"": 485460.67}]",[78],"[14, 97]","[526, 95]","[5589, 16702]","[2609, 1111, 4339]"
6046,Taylor-Kelley,"89482 Moreno Terrace Apt. 359
Lake Angelahaven, WV 47039",S.r.l.,327-63-5859,"[{""year"": 2021, ""revenue"": 197515.99, ""profit"": 45725.98}]",[72],"[86, 68, 64]",[641],[12230],[3973]
6047,Pineda-Scott,"34662 Tyler Station Suite 432
Lake Robertport, NH 66078",S.r.l.,157-41-6125,"[{""year"": 2018, ""revenue"": 884098.98, ""profit"": 303796.74}, {""year"": 2019, ""revenue"": 341958.08, ""profit"": 468735.97}, {""year"": 2021, ""revenue"": 699310.27, ""profit"": 42642.41}]","[70, 91]","[58, 93, 56, 3, 59, 48]",[162],"[4115, 18676]","[4942, 4883]"
6048,"Mills, Clark and Hendrix","8926 Porter Valleys Apt. 979
New Madeline, AS 06910",S.p.A.,562-29-7751,"[{""year"": 2016, ""revenue"": 735425.51, ""profit"": 469347.27}, {""year"": 2021, ""revenue"": 626746.42, ""profit"": 244512.13}]","[84, 21, 37]",[19],"[295, 164, 853]",[8417],[2615]
6049,"Montgomery, Lewis and Ramirez","33789 Mary Isle Suite 877
Murphyside, CT 81399",Cooperative,115-82-9883,"[{""year"": 2016, ""revenue"": 73242.59, ""profit"": 61918.84}, {""year"": 2020, ""revenue"": 265472.63, ""profit"": 165057.4}, {""year"": 2021, ""revenue"": 743178.3, ""profit"": 310758.86}]",[39],"[86, 19, 92]","[138, 813]","[13900, 16733, 15970, 1551]","[331, 136, 530]"
6050,"Schroeder, Bennett and Rodriguez","5890 Linda Causeway Apt. 686
Kristintown, VT 74334",S.n.C.,780-64-5683,"[{""year"": 2016, ""revenue"": 414063.1, ""profit"": 301351.73}]","[84, 32]","[5, 2]","[837, 127, 215]",[10633],[3600]
6051,"Welch, Turner and Gill","479 Anderson Keys
East Nicoleville, NE 32379",S.n.C.,047-02-5713,"[{""year"": 2020, ""revenue"": 150557.84, ""profit"": 430197.52}, {""year"": 2023, ""revenue"": 707411.35, ""profit"": 371218.41}, {""year"": 2020, ""revenue"": 29499.39, ""profit"": 206804.75}, {""year"": 2020, ""revenue"": 134456.75, ""profit"": 413313.8}]",[34],"[62, 82, 26, 63, 78, 39]","[589, 303, 212]","[2264, 10004, 3882, 6043]","[3131, 472, 3635]"
6052,"Huffman, Dennis and Williams","283 Meyer Cliff Suite 127
West Jamietown, NJ 14400",S.r.l.,055-54-9545,"[{""year"": 2016, ""revenue"": 751898.42, ""profit"": 316426.23}, {""year"": 2018, ""revenue"": 664144.31, ""profit"": 289462.69}, {""year"": 2022, ""revenue"": 975422.05, ""profit"": 351145.9}]",[23],[16],[348],[18335],"[266, 2439, 3440]"
6053,Burns and Sons,"930 Robert Loaf
Savannahview, IA 62145",S.a.S.,244-91-8123,"[{""year"": 2016, ""revenue"": 849084.93, ""profit"": 271175.43}, {""year"": 2022, ""revenue"": 238111.23, ""profit"": 287498.94}, {""year"": 2021, ""revenue"": 767698.2, ""profit"": 64083.23}, {""year"": 2016, ""revenue"": 176605.44, ""profit"": 252583.22}]",[100],"[98, 55, 38]",[550],"[16179, 19199, 12624, 11275, 5527]","[413, 4919]"
6054,"Eaton, Suarez and Moore","214 Ryan Islands Apt. 561
South Kristine, MT 82747",S.r.l.,272-07-1783,"[{""year"": 2017, ""revenue"": 578825.86, ""profit"": 154440.93}, {""year"": 2017, ""revenue"": 969425.18, ""profit"": 188997.56}, {""year"": 2019, ""revenue"": 652332.58, ""profit"": 368929.05}, {""year"": 2021, ""revenue"": 537303.66, ""profit"": 424131.77}]","[51, 30]","[25, 100, 83, 53, 95, 99]",[368],"[11874, 7989, 898, 8200]","[2710, 2092]"
6055,"Hamilton, Harrison and Mendez","518 Tristan Dale
New Breanna, IL 89422",Onlus,010-13-9299,"[{""year"": 2023, ""revenue"": 48258.67, ""profit"": 59162.61}, {""year"": 2018, ""revenue"": 25327.01, ""profit"": 325671.2}, {""year"": 2021, ""revenue"": 809018.69, ""profit"": 272304.28}, {""year"": 2023, ""revenue"": 758437.77, ""profit"": 486766.05}, {""year"": 2016, ""revenue"": 745021.55, ""profit"": 423411.63}]",[9],"[1, 4, 32, 68, 40, 7]","[993, 205, 321]","[10402, 3608, 12464, 1741]","[692, 3835, 4003]"
6056,Rodriguez LLC,"USNS Herring
FPO AE 92087",S.n.C.,551-16-9427,"[{""year"": 2022, ""revenue"": 458893.17, ""profit"": 457860.01}, {""year"": 2022, ""revenue"": 388069.6, ""profit"": 481878.21}, {""year"": 2023, ""revenue"": 896899.96, ""profit"": 106926.88}, {""year"": 2016, ""revenue"": 108729.97, ""profit"": 440433.88}, {""year"": 2019, ""revenue"": 511290.1, ""profit"": 410862.91}]","[41, 68, 87]","[93, 71, 16, 79, 40, 69, 39]","[641, 697]","[16284, 17294, 18962, 14395, 19973]","[2192, 1985]"
6057,Contreras-Miller,"8141 Chaney Row Suite 539
Simpsonberg, HI 67522",Cooperative,521-63-3794,"[{""year"": 2020, ""revenue"": 689463.84, ""profit"": 270333.78}, {""year"": 2015, ""revenue"": 444763.69, ""profit"": 212050.96}]","[11, 12, 77]","[93, 92]","[172, 274]",[18177],"[3362, 2145, 4095]"
6058,Guzman Inc,"Unit 8745 Box 1881
DPO AP 77746",S.r.l.,536-70-7945,"[{""year"": 2019, ""revenue"": 805657.57, ""profit"": 218531.46}, {""year"": 2015, ""revenue"": 933393.62, ""profit"": 59451.23}, {""year"": 2018, ""revenue"": 325682.95, ""profit"": 98524.52}]",[42],"[59, 18, 88, 1, 48, 85, 16]","[237, 70, 959]",[6717],"[3567, 2791, 1985]"
6059,"Zimmerman, Smith and Simmons","Unit 3871 Box 5917
DPO AE 21394",S.r.l.,596-42-0561,"[{""year"": 2020, ""revenue"": 515082.06, ""profit"": 162127.98}, {""year"": 2015, ""revenue"": 747074.53, ""profit"": 335568.58}, {""year"": 2020, ""revenue"": 697558.44, ""profit"": 50216.09}, {""year"": 2020, ""revenue"": 356112.14, ""profit"": 236157.91}]","[67, 96, 69]","[24, 64, 13, 46, 60, 67, 15, 52]",[936],"[11401, 11514, 10685, 10248, 1440]",[931]
6060,Medina Group,"26190 Brown Common
East Alexander, OK 44660",S.n.C.,063-69-9366,"[{""year"": 2023, ""revenue"": 704074.24, ""profit"": 45373.68}, {""year"": 2022, ""revenue"": 131930.65, ""profit"": 435246.67}, {""year"": 2018, ""revenue"": 18150.3, ""profit"": 147184.11}]","[72, 3, 78]","[12, 40, 62]","[155, 711]",[18759],"[226, 2817]"
6061,Lee-Cross,"547 Cruz Bridge
Karenburgh, ME 49819",S.n.C.,267-68-5093,"[{""year"": 2019, ""revenue"": 901757.88, ""profit"": 120826.25}, {""year"": 2021, ""revenue"": 156751.46, ""profit"": 131762.61}]","[65, 57, 66]","[90, 53, 43, 31, 98, 20, 40, 27]","[823, 35]",[12205],"[1394, 1509]"
6062,Oconnor and Sons,"4611 Khan Path Apt. 786
Port Jenniferview, WV 43444",S.n.C.,250-44-9485,"[{""year"": 2020, ""revenue"": 865442.47, ""profit"": 358127.91}, {""year"": 2021, ""revenue"": 689230.65, ""profit"": 436790.37}, {""year"": 2016, ""revenue"": 179547.99, ""profit"": 325774.66}, {""year"": 2022, ""revenue"": 799405.3, ""profit"": 399276.96}]",[2],"[27, 9, 64]",[595],"[887, 7849, 6985, 8476, 1198]","[743, 1715]"
6063,Young-Rodriguez,"6987 Grace Gardens Apt. 851
Lake Stephaniemouth, FM 33240",Onlus,735-85-4983,"[{""year"": 2019, ""revenue"": 474041.1, ""profit"": 443819.22}, {""year"": 2018, ""revenue"": 543931.33, ""profit"": 468468.74}]","[79, 67]","[6, 54, 91, 38, 39, 28]","[194, 453]","[14728, 13945, 9767]","[4840, 689]"
6064,Hall-Gutierrez,"35553 Yvonne Plains Apt. 409
New Kristinmouth, AK 08821",S.a.S.,012-50-4939,"[{""year"": 2022, ""revenue"": 103321.85, ""profit"": 43835.37}, {""year"": 2022, ""revenue"": 198669.05, ""profit"": 258607.43}, {""year"": 2020, ""revenue"": 123272.95, ""profit"": 201882.69}, {""year"": 2023, ""revenue"": 687446.46, ""profit"": 280428.94}]","[56, 57]","[45, 10, 48, 75, 52, 35, 7, 57, 93]",[379],[7066],[1317]
6065,"Trujillo, Vega and Butler","78006 Meagan Radial Suite 848
Gordonfurt, PR 34889",S.r.l.,725-65-9865,"[{""year"": 2021, ""revenue"": 672562.64, ""profit"": 445678.95}, {""year"": 2017, ""revenue"": 163196.97, ""profit"": 258229.91}, {""year"": 2019, ""revenue"": 299460.45, ""profit"": 99633.83}]","[7, 93, 97]","[77, 86, 9]","[234, 287]",[19290],"[2654, 1371, 556]"
6066,"Jackson, Soto and Taylor","769 House Squares Apt. 969
Chavezside, MN 07591",S.p.A.,196-94-1557,"[{""year"": 2018, ""revenue"": 328958.43, ""profit"": 423298.07}, {""year"": 2016, ""revenue"": 955167.59, ""profit"": 223862.41}, {""year"": 2018, ""revenue"": 578897.03, ""profit"": 217777.67}]",[80],"[93, 19, 100, 74, 21, 26]","[994, 612, 424]","[9685, 3040, 19113, 6013, 12235]",[1410]
6067,"Baker, Atkins and Kim","77684 Caleb Loaf
North Ashley, NC 55146",S.n.C.,807-85-3112,"[{""year"": 2016, ""revenue"": 28907.55, ""profit"": 69099.61}, {""year"": 2021, ""revenue"": 994511.91, ""profit"": 307323.62}, {""year"": 2019, ""revenue"": 73167.69, ""profit"": 419915.53}, {""year"": 2021, ""revenue"": 914654.76, ""profit"": 489993.85}]",[64],"[23, 17, 20, 45, 11]","[226, 434]","[11343, 2826, 1842, 12312, 18216]","[397, 4112]"
6068,Russell and Sons,"1671 Davis Plaza
Campbellborough, MN 15867",Onlus,563-20-0116,"[{""year"": 2015, ""revenue"": 438456.27, ""profit"": 162543.03}, {""year"": 2019, ""revenue"": 978795.69, ""profit"": 205296.94}, {""year"": 2016, ""revenue"": 41848.62, ""profit"": 483568.69}]","[15, 65, 40]","[78, 36, 95, 51, 86, 10, 8]","[619, 202]",[15763],"[114, 3288]"
6069,"Williams, Arellano and Cooper","58542 Dylan Passage
South Christopherland, RI 12445",S.r.l. a socio unico,197-18-6891,"[{""year"": 2021, ""revenue"": 49765.4, ""profit"": 197960.92}, {""year"": 2018, ""revenue"": 575112.93, ""profit"": 105095.13}, {""year"": 2019, ""revenue"": 50238.91, ""profit"": 351358.47}, {""year"": 2021, ""revenue"": 498386.79, ""profit"": 356710.99}]",[28],"[86, 4]","[90, 304]","[14748, 12498, 16456, 2606]","[3376, 4003]"
6070,"Johnson, Murillo and Jackson","275 Tyler Walk
New Samuelport, LA 16797",S.r.l. a socio unico,509-76-5007,"[{""year"": 2021, ""revenue"": 235656.51, ""profit"": 169965.56}, {""year"": 2023, ""revenue"": 426314.9, ""profit"": 276154.59}, {""year"": 2023, ""revenue"": 155710.56, ""profit"": 257078.41}]","[34, 80, 49]","[17, 23, 15, 50, 28, 81, 53, 32]","[267, 205, 258]","[2469, 17265, 7503]",[120]
6071,Bates-Simpson,"54847 Livingston Stravenue Apt. 599
New Donnaview, UT 91343",S.r.l. a socio unico,774-21-2485,"[{""year"": 2022, ""revenue"": 617669.2, ""profit"": 262921.81}, {""year"": 2015, ""revenue"": 79182.66, ""profit"": 176903.33}, {""year"": 2017, ""revenue"": 934299.4, ""profit"": 212404.34}]",[86],"[52, 41, 17]",[730],[13189],"[4, 4924]"
6072,"West, Ruiz and Ross","03515 Boyer Falls
Matthewside, MT 21422",S.r.l.,403-46-4462,"[{""year"": 2018, ""revenue"": 273845.57, ""profit"": 182496.84}]",[53],"[2, 77, 6]","[866, 496, 764]",[4923],"[4072, 4649]"
6073,"Brady, Wolf and Jacobs","750 Tracie Lock
New Randymouth, MN 43883",S.a.S.,135-26-0121,"[{""year"": 2021, ""revenue"": 791795.16, ""profit"": 67157.42}, {""year"": 2019, ""revenue"": 320136.17, ""profit"": 481262.1}, {""year"": 2023, ""revenue"": 371909.15, ""profit"": 201259.2}, {""year"": 2020, ""revenue"": 177763.11, ""profit"": 471096.94}, {""year"": 2016, ""revenue"": 733225.22, ""profit"": 476747.99}]","[3, 77]","[97, 82, 16, 88, 26]",[484],"[2114, 6232, 1015]","[395, 28, 3461]"
6074,Hodges-Hansen,"75753 Williams Cape
West Roberthaven, WI 97827",S.p.A.,283-32-3694,"[{""year"": 2019, ""revenue"": 558730.3, ""profit"": 476888.45}, {""year"": 2015, ""revenue"": 789919.09, ""profit"": 365374.61}, {""year"": 2016, ""revenue"": 847529.81, ""profit"": 64847.77}]",[21],"[85, 97, 28]",[788],"[13799, 14979, 11313]","[630, 708, 3188]"
6075,Munoz-White,"804 Li Coves
Chanshire, WI 62181",Cooperative,799-58-6389,"[{""year"": 2020, ""revenue"": 679035.12, ""profit"": 273454.58}, {""year"": 2019, ""revenue"": 362643.74, ""profit"": 46263.75}]","[66, 46]","[79, 24, 35, 77, 75]",[738],[4616],[3826]
6076,"Miller, Vega and Farley","0255 Beck Drives
Calderonfort, NY 38222",S.p.A.,206-56-0567,"[{""year"": 2020, ""revenue"": 595760.81, ""profit"": 180275.61}, {""year"": 2020, ""revenue"": 717095.38, ""profit"": 30550.61}, {""year"": 2020, ""revenue"": 556358.55, ""profit"": 493101.74}]","[74, 25]","[28, 29, 19]","[825, 454]","[19877, 19671, 11586, 12510]",[1098]
6077,Williams-Callahan,"2444 Laurie Motorway
South John, KS 98867",S.r.l. a socio unico,426-76-0770,"[{""year"": 2021, ""revenue"": 678939.36, ""profit"": 251691.56}, {""year"": 2016, ""revenue"": 201092.81, ""profit"": 286166.21}, {""year"": 2018, ""revenue"": 833766.79, ""profit"": 490952.74}, {""year"": 2020, ""revenue"": 628971.74, ""profit"": 313120.09}]",[17],"[85, 74]","[171, 227, 296]","[3312, 16850, 2015, 15883, 8848]",[317]
6078,Ramirez PLC,"68313 Lara Wall
East Kimberly, PA 69772",S.n.C.,366-23-4353,"[{""year"": 2017, ""revenue"": 127502.72, ""profit"": 215883.64}, {""year"": 2023, ""revenue"": 287416.91, ""profit"": 187527.33}]","[86, 40]","[73, 19, 5]",[311],"[13215, 8362, 18408, 14183, 13977]","[4835, 1811, 4558]"
6079,Miller-Martinez,"65777 Raymond Via
East Williamchester, HI 75680",S.r.l. a socio unico,411-28-9727,"[{""year"": 2015, ""revenue"": 79535.95, ""profit"": 497128.97}, {""year"": 2022, ""revenue"": 180561.19, ""profit"": 448452.72}, {""year"": 2020, ""revenue"": 359551.8, ""profit"": 184876.69}, {""year"": 2015, ""revenue"": 926098.06, ""profit"": 167309.56}, {""year"": 2022, ""revenue"": 999915.49, ""profit"": 317465.24}]","[70, 40, 17]","[60, 74, 70, 8, 47]","[948, 251]","[15298, 11000]",[4207]
6080,Porter-Zimmerman,"2794 Rhodes Forge
South Loganshire, AR 43820",S.n.C.,415-53-4788,"[{""year"": 2023, ""revenue"": 993217.59, ""profit"": 221730.5}, {""year"": 2016, ""revenue"": 715594.46, ""profit"": 220966.46}, {""year"": 2018, ""revenue"": 585603.1, ""profit"": 235398.65}, {""year"": 2021, ""revenue"": 702484.32, ""profit"": 375470.89}]",[67],"[29, 60, 62, 35, 24, 55, 21, 42]",[291],"[17659, 6369, 5050]",[3665]
6081,Padilla-Ortiz,"45630 Antonio Locks Apt. 212
West Karen, GU 77215",S.p.A.,878-81-0436,"[{""year"": 2018, ""revenue"": 925268.16, ""profit"": 432477.12}]","[7, 16, 84]",[69],"[472, 703, 207]","[18893, 7895, 852, 11986]",[358]
6082,Young-Burton,"7099 Murphy Fort Suite 645
East Raystad, NM 74464",S.n.C.,602-21-6208,"[{""year"": 2017, ""revenue"": 198493.12, ""profit"": 42786.2}, {""year"": 2023, ""revenue"": 946400.76, ""profit"": 220945.17}, {""year"": 2022, ""revenue"": 914136.88, ""profit"": 491367.82}]","[98, 89, 25]",[7],[727],[7798],"[553, 2631, 4751]"
6083,"Smith, Wu and Clark","7331 Sabrina Vista Apt. 415
Gonzalezview, OR 93970",S.p.A.,683-40-1720,"[{""year"": 2015, ""revenue"": 791217.82, ""profit"": 163279.2}, {""year"": 2020, ""revenue"": 26893.06, ""profit"": 254246.19}, {""year"": 2019, ""revenue"": 894487.02, ""profit"": 156233.78}, {""year"": 2019, ""revenue"": 564109.97, ""profit"": 394574.62}, {""year"": 2018, ""revenue"": 521675.31, ""profit"": 245720.02}]",[63],"[14, 69, 54, 6, 53, 84, 96, 43, 64, 95]",[198],"[4074, 12602, 13961, 1922, 7283]","[137, 2814]"
6084,Gill LLC,"28060 Gomez Pike
South Rebeccaport, MS 73020",S.a.S.,305-17-7381,"[{""year"": 2016, ""revenue"": 271614.1, ""profit"": 319543.58}, {""year"": 2015, ""revenue"": 932615.28, ""profit"": 228375.24}, {""year"": 2017, ""revenue"": 352425.84, ""profit"": 186220.83}, {""year"": 2023, ""revenue"": 550054.92, ""profit"": 226877.18}, {""year"": 2015, ""revenue"": 988936.9, ""profit"": 438098.89}]","[83, 49, 6]","[42, 67, 72, 15, 68]","[616, 284, 475]","[3896, 2637]",[4871]
6085,Reed Inc,"84804 Patricia Land Suite 169
Martinezshire, OR 67125",Cooperative,083-37-6137,"[{""year"": 2019, ""revenue"": 719214.67, ""profit"": 387319.67}, {""year"": 2016, ""revenue"": 659182.56, ""profit"": 492076.13}, {""year"": 2015, ""revenue"": 286482.93, ""profit"": 141534.16}]","[71, 33, 81]","[77, 94, 21, 67, 96, 24, 7, 78, 16, 14]","[138, 795, 766]",[13267],"[3721, 292, 3509]"
6086,Fuentes Group,"9526 Jennifer Path
New Richard, WA 58692",S.n.C.,124-38-1299,"[{""year"": 2015, ""revenue"": 411319.76, ""profit"": 456225.86}, {""year"": 2020, ""revenue"": 988674.27, ""profit"": 344321.36}, {""year"": 2017, ""revenue"": 330992.75, ""profit"": 358072.36}]",[40],"[4, 38, 66, 37, 29, 79, 54, 81, 73]","[287, 34]","[3587, 8023, 12466]","[2817, 2408]"
6087,Moore PLC,"0960 Herrera Route
Lake Shawn, AZ 48980",Cooperative,715-18-0890,"[{""year"": 2018, ""revenue"": 618442.83, ""profit"": 419455.46}, {""year"": 2018, ""revenue"": 45250.29, ""profit"": 145315.13}, {""year"": 2018, ""revenue"": 816570.37, ""profit"": 43691.16}, {""year"": 2019, ""revenue"": 544336.97, ""profit"": 492724.71}, {""year"": 2020, ""revenue"": 452134.1, ""profit"": 85514.48}]",[7],"[56, 96, 41, 51, 33]",[434],"[51, 7737, 4201, 6525, 10605]",[2337]
6088,Riddle-Schmidt,"48334 Tanya Lock Apt. 476
Hansonshire, VA 71756",Cooperative,037-39-1485,"[{""year"": 2018, ""revenue"": 680939.43, ""profit"": 410742.73}]",[57],"[29, 85, 92, 22, 37, 13, 2]","[587, 723]","[18153, 12139, 4266, 14400, 14017]","[1671, 2078, 911]"
6089,Perez-Medina,"162 Sarah Trafficway
Baileyland, IA 55540",Onlus,261-04-4000,"[{""year"": 2017, ""revenue"": 658649.2, ""profit"": 313907.11}, {""year"": 2021, ""revenue"": 137646.58, ""profit"": 292589.62}, {""year"": 2016, ""revenue"": 422183.16, ""profit"": 158618.55}, {""year"": 2021, ""revenue"": 357604.25, ""profit"": 487393.75}]","[24, 17, 82]","[81, 31]","[939, 633, 464]","[13296, 11123, 6430]","[4736, 3663]"
6090,Tucker PLC,"762 Castro Ridges
New Jayfort, TX 26889",Onlus,607-67-7372,"[{""year"": 2019, ""revenue"": 104994.82, ""profit"": 133638.93}, {""year"": 2018, ""revenue"": 92026.4, ""profit"": 321143.65}, {""year"": 2022, ""revenue"": 616094.06, ""profit"": 21663.51}, {""year"": 2019, ""revenue"": 152198.57, ""profit"": 377854.61}, {""year"": 2015, ""revenue"": 971060.06, ""profit"": 4354.98}]","[88, 85, 14]","[77, 99, 70, 45, 8, 63, 3, 55, 41, 24]",[174],"[2992, 2502, 10486, 3475]","[3610, 4049]"
6091,Hudson-Martin,"692 Kelley Overpass
New Scott, DE 40673",S.r.l. a socio unico,252-12-9727,"[{""year"": 2022, ""revenue"": 399725.01, ""profit"": 185489.67}, {""year"": 2020, ""revenue"": 990945.28, ""profit"": 76648.89}]","[19, 15]","[28, 20]",[572],"[4977, 16412, 11993]","[3753, 3721]"
6092,Baker-Brown,"37997 Foster Forks Apt. 927
Jeanetteshire, VT 78432",S.r.l.,670-30-3208,"[{""year"": 2019, ""revenue"": 289505.48, ""profit"": 239025.95}, {""year"": 2020, ""revenue"": 281998.29, ""profit"": 386111.36}, {""year"": 2022, ""revenue"": 886783.75, ""profit"": 132138.11}, {""year"": 2019, ""revenue"": 308590.36, ""profit"": 290824.96}, {""year"": 2021, ""revenue"": 458668.16, ""profit"": 429102.21}]",[3],"[98, 67, 52, 66]","[958, 628]","[14034, 2880, 11697]","[3919, 2871, 995]"
6093,Jones-Johnson,"023 Hernandez Run
Bennettshire, DC 16694",S.r.l.,832-13-2301,"[{""year"": 2020, ""revenue"": 268697.57, ""profit"": 397976.89}]",[88],"[11, 1, 89, 75, 16, 73]","[710, 636, 33]","[13184, 12134, 18374, 11676, 509]",[2698]
6094,"Myers, Johnson and Mullins","882 Nicholas Oval Suite 464
Lake Jerry, AR 25164",Onlus,885-35-1796,"[{""year"": 2023, ""revenue"": 880614.65, ""profit"": 122688.18}, {""year"": 2021, ""revenue"": 375798.23, ""profit"": 253344.41}]","[1, 10, 20]","[86, 7, 88, 63, 62]",[162],[15728],[4815]
6095,Andersen-Lee,"79876 Yoder Squares
Monicaside, GU 45714",S.a.S.,548-33-1188,"[{""year"": 2015, ""revenue"": 47138.6, ""profit"": 19163.79}, {""year"": 2019, ""revenue"": 911539.07, ""profit"": 393429.19}, {""year"": 2020, ""revenue"": 259210.64, ""profit"": 140742.61}, {""year"": 2015, ""revenue"": 446224.99, ""profit"": 149340.5}, {""year"": 2023, ""revenue"": 74149.81, ""profit"": 158659.67}]",[8],"[12, 87, 64, 95, 47, 25]","[78, 364]",[14188],[1278]
6096,Smith Group,"8378 Mark Hollow Apt. 231
New Michelle, ME 00784",S.r.l.,138-48-9527,"[{""year"": 2015, ""revenue"": 268988.43, ""profit"": 71101.48}, {""year"": 2019, ""revenue"": 912752.24, ""profit"": 354085.97}, {""year"": 2017, ""revenue"": 243715.18, ""profit"": 439515.54}]","[73, 36]",[32],[231],"[14119, 17462]",[2660]
6097,"Martinez, Anderson and Wood","99638 Diane Tunnel
Pamelaport, TN 78223",Onlus,084-44-0106,"[{""year"": 2020, ""revenue"": 803246.13, ""profit"": 209822.39}, {""year"": 2018, ""revenue"": 302236.01, ""profit"": 299229.85}, {""year"": 2015, ""revenue"": 167521.67, ""profit"": 424399.2}, {""year"": 2019, ""revenue"": 560000.72, ""profit"": 404982.37}]","[24, 5, 49]",[67],[518],[14316],"[2525, 4848]"
6098,Powell-Barber,"64478 Anderson Shoals
New Johnmouth, VI 34192",S.r.l.,122-55-6353,"[{""year"": 2019, ""revenue"": 243495.4, ""profit"": 218265.59}, {""year"": 2016, ""revenue"": 255846.95, ""profit"": 8923.49}, {""year"": 2017, ""revenue"": 474880.62, ""profit"": 293009.77}, {""year"": 2020, ""revenue"": 366922.02, ""profit"": 325489.44}, {""year"": 2016, ""revenue"": 603775.62, ""profit"": 450545.52}]",[54],"[46, 64, 79, 18, 13, 97, 61]",[1],"[5338, 16231, 6620, 11218, 288]","[2964, 2617, 3216]"
6099,Liu LLC,"63130 Smith River Apt. 081
Cartermouth, MP 56648",Cooperative,758-19-4056,"[{""year"": 2018, ""revenue"": 920927.74, ""profit"": 58546.06}, {""year"": 2021, ""revenue"": 882302.31, ""profit"": 98999.76}, {""year"": 2022, ""revenue"": 182632.76, ""profit"": 38595.81}, {""year"": 2023, ""revenue"": 919572.36, ""profit"": 182589.17}]",[37],"[77, 100, 44, 99, 84, 83, 31, 78, 56, 28]","[844, 456]","[1098, 9278]",[968]
6100,Wilson and Sons,"071 Watson Gardens Suite 678
South Heathershire, OH 38689",Onlus,729-52-8140,"[{""year"": 2023, ""revenue"": 955442.6, ""profit"": 160654.99}, {""year"": 2023, ""revenue"": 452467.61, ""profit"": 497766.6}, {""year"": 2018, ""revenue"": 870856.25, ""profit"": 153113.47}, {""year"": 2018, ""revenue"": 66430.19, ""profit"": 455720.47}, {""year"": 2018, ""revenue"": 735721.48, ""profit"": 31227.36}]",[14],"[93, 18, 61, 33, 21, 55, 45]",[194],"[11248, 7591, 8676, 6620]","[2704, 1559]"
6101,"Rivera, Knox and Anderson","65864 Andrea Street Suite 112
Port Richard, PR 66119",Onlus,662-61-7562,"[{""year"": 2022, ""revenue"": 222358.0, ""profit"": 196196.91}]","[76, 72]","[16, 60, 7, 20, 90, 88, 28, 33]",[47],"[18666, 19172, 16512]","[2410, 2106]"
6102,Jackson-Huff,"749 Johnson Drive Apt. 162
Bauerside, ND 60065",S.r.l.,837-46-2771,"[{""year"": 2017, ""revenue"": 108638.32, ""profit"": 351624.18}, {""year"": 2016, ""revenue"": 983824.78, ""profit"": 276658.64}, {""year"": 2020, ""revenue"": 778000.43, ""profit"": 91347.76}, {""year"": 2023, ""revenue"": 135441.34, ""profit"": 352771.28}, {""year"": 2022, ""revenue"": 707950.85, ""profit"": 283778.18}]",[63],"[37, 32, 69]","[456, 608, 799]","[1188, 16329, 6344, 1320]",[3601]
6103,Gillespie PLC,"6112 Jacob Parkways Apt. 346
Vincenthaven, MD 34202",S.p.A.,205-03-1853,"[{""year"": 2020, ""revenue"": 282123.49, ""profit"": 374733.03}, {""year"": 2017, ""revenue"": 273920.81, ""profit"": 56616.37}, {""year"": 2017, ""revenue"": 772943.37, ""profit"": 460294.34}, {""year"": 2019, ""revenue"": 354953.13, ""profit"": 130277.48}, {""year"": 2022, ""revenue"": 542720.74, ""profit"": 250002.98}]","[12, 61]","[62, 100, 47, 99, 39]","[529, 96]","[5461, 15753]",[3336]
6104,Gonzalez-Richards,"3182 Laurie Walk Apt. 652
Jeffreybury, NC 20621",Cooperative,835-44-2816,"[{""year"": 2019, ""revenue"": 971375.04, ""profit"": 47755.08}, {""year"": 2018, ""revenue"": 674127.47, ""profit"": 236619.76}]",[56],"[43, 3, 42, 30, 41, 54]","[199, 376, 920]","[3907, 19826, 1241, 19877, 17862]",[4815]
6105,Lin-Warner,"35947 Frazier Union
Richardborough, OR 43361",S.p.A.,598-54-3908,"[{""year"": 2016, ""revenue"": 184404.79, ""profit"": 156759.13}, {""year"": 2015, ""revenue"": 591808.75, ""profit"": 223227.73}, {""year"": 2018, ""revenue"": 751821.78, ""profit"": 250114.22}, {""year"": 2018, ""revenue"": 19407.26, ""profit"": 489280.52}]","[54, 37, 21]","[5, 90]","[426, 434]","[3736, 16712, 17481, 19622]","[2729, 3102]"
